"filename", "language", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "Markdown", "CSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\designs\StoreBrandForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 140, 0, 10, 10, 160
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\designs\StoreCategoryForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 152, 0, 10, 11, 173
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\designs\SupportForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 85, 0, 0, 6, 91
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\designs\index.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\emptyList\EmptyComment.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\emptyList\EmptyCommentsList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\emptyList\EmptyCustomList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\emptyList\EmptyOrdersList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\emptyList\EmptySearchList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\emptyList\EmptyTicketList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\emptyList\EmptyUsersList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\emptyList\index.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\feature\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\form\ArticleForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 573, 0, 76, 40, 689
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\form\DesignForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 556, 58, 614
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\form\LoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 118, 0, 25, 18, 161
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\form\LoginUserForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 106, 0, 2, 19, 127
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\form\MainPageAdsForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 822, 0, 44, 62, 928
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\form\ProductForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 1821, 0, 56, 130, 2007
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\form\ProductFormEdit.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 2337, 0, 228, 186, 2751
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\form\ProfileForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 353, 0, 4, 14, 371
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\form\RoleForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 240, 0, 14, 18, 272
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\form\TextEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 356, 0, 701, 39, 1096
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\form\TicketForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 570, 0, 76, 40, 686
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\form\UserForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 1078, 0, 51, 58, 1187
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\form\UserTicketForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 573, 0, 35, 39, 647
